iter	Passed	Remaining
526	1712	1537
527	1715	1533
528	1718	1529
529	1721	1526
530	1723	1522
531	1726	1519
532	1729	1515
533	1732	1512
534	1735	1508
535	1739	1505
536	1742	1502
537	1744	1498
538	1747	1494
539	1750	1491
540	1754	1488
541	1757	1485
542	1761	1482
543	1764	1479
544	1767	1475
545	1771	1472
546	1774	1469
547	1777	1466
548	1780	1462
549	1783	1459
550	1786	1455
551	1789	1452
552	1792	1449
553	1795	1445
554	1798	1442
555	1801	1438
556	1805	1435
557	1808	1432
558	1811	1428
559	1814	1425
560	1817	1422
561	1820	1418
562	1824	1416
563	1827	1413
564	1830	1409
565	1833	1406
566	1837	1403
567	1841	1400
568	1844	1397
569	1848	1394
570	1851	1390
571	1854	1387
572	1856	1383
573	1860	1380
574	1863	1377
575	1865	1373
576	1869	1370
577	1874	1368
578	1877	1364
579	1879	1360
580	1882	1357
581	1886	1354
582	1889	1351
583	1893	1348
584	1895	1344
585	1898	1341
586	1902	1338
587	1904	1334
588	1907	1330
589	1910	1327
590	1913	1324
591	1916	1321
592	1919	1317
593	1922	1313
594	1924	1310
595	1928	1307
596	1931	1304
597	1935	1300
598	1938	1297
599	1942	1294
600	1945	1291
601	1948	1287
602	1951	1284
603	1954	1281
604	1957	1277
605	1959	1273
606	1962	1270
607	1965	1267
608	1969	1264
609	1972	1261
610	1976	1258
611	1978	1254
612	1982	1251
613	1985	1248
614	1987	1244
615	1991	1241
616	1994	1238
617	1997	1234
618	2000	1231
619	2003	1228
620	2007	1225
621	2010	1221
622	2012	1217
623	2015	1214
624	2018	1211
625	2022	1208
626	2025	1204
627	2028	1201
628	2031	1198
629	2035	1195
630	2038	1191
631	2041	1188
632	2044	1185
633	2047	1182
634	2051	1179
635	2054	1176
636	2057	1172
637	2067	1173
638	2070	1169
639	2072	1165
640	2075	1162
641	2079	1159
642	2083	1156
643	2085	1152
644	2089	1149
645	2091	1146
646	2095	1143
647	2098	1139
648	2100	1136
649	2103	1132
650	2107	1129
651	2108	1125
652	2111	1122
653	2114	1118
654	2117	1115
655	2120	1112
656	2123	1108
657	2127	1105
658	2133	1103
659	2136	1100
660	2142	1098
661	2145	1095
662	2151	1093
663	2155	1090
664	2157	1086
665	2160	1083
666	2163	1079
667	2166	1076
668	2168	1073
669	2172	1069
670	2174	1066
671	2177	1062
672	2180	1059
673	2183	1056
674	2186	1052
675	2189	1049
676	2193	1046
677	2196	1043
678	2201	1040
679	2207	1038
680	2210	1035
681	2222	1036
682	2224	1032
683	2229	1029
684	2239	1029
685	2245	1027
686	2254	1027
687	2261	1025
688	2266	1022
689	2269	1019
690	2271	1015
691	2282	1015
692	2285	1012
693	2289	1009
694	2292	1006
695	2295	1002
696	2297	998
697	2301	995
698	2303	991
699	2307	988
700	2310	985
701	2317	983
702	2320	980
703	2325	977
704	2328	974
705	2334	972
706	2337	968
707	2340	965
708	2344	962
709	2347	958
710	2349	955
711	2354	952
712	2360	949
713	2365	947
714	2368	944
715	2371	940
716	2378	938
717	2381	935
718	2390	934
719	2394	931
720	2396	927
721	2399	923
722	2409	923
723	2410	919
724	2415	916
725	2418	912
726	2423	909
727	2426	906
728	2429	903
729	2431	899
730	2435	896
731	2437	892
732	2441	889
733	2445	886
734	2447	882
735	2450	878
736	2453	875
737	2456	872
738	2461	869
739	2464	865
740	2467	862
741	2470	859
742	2474	855
743	2476	852
744	2480	849
745	2482	845
746	2486	842
747	2488	838
748	2492	835
749	2495	831
750	2498	828
751	2501	825
752	2505	821
753	2509	818
754	2512	815
755	2514	811
756	2517	808
757	2519	804
758	2522	801
759	2525	797
760	2529	794
761	2532	790
762	2535	787
763	2538	784
764	2541	780
765	2544	777
766	2549	774
767	2553	771
768	2556	767
769	2561	764
770	2564	761
771	2567	758
772	2570	754
773	2573	751
774	2576	748
775	2578	744
776	2582	741
777	2585	737
778	2588	734
779	2591	730
780	2594	727
781	2597	724
782	2599	720
783	2603	717
784	2606	713
785	2609	710
786	2612	707
787	2615	703
788	2623	701
789	2633	699
790	2635	696
791	2639	693
792	2642	689
793	2646	686
794	2649	683
795	2653	679
796	2655	676
797	2659	673
798	2661	669
799	2664	666
800	2667	662
801	2670	659
802	2674	656
803	2678	652
804	2684	650
805	2687	646
806	2690	643
807	2694	640
808	2698	637
809	2703	634
810	2707	631
811	2711	627
812	2714	624
813	2717	620
814	2721	617
815	2727	614
816	2732	612
817	2744	610
818	2750	607
819	2755	604
820	2760	601
821	2765	598
822	2770	595
823	2774	592
824	2778	589
825	2782	586
826	2789	583
827	2794	580
828	2799	577
829	2803	574
830	2808	571
831	2811	567
832	2813	564
833	2817	560
834	2820	557
835	2823	553
836	2826	550
837	2829	546
838	2832	543
839	2836	540
840	2838	536
841	2841	533
842	2844	529
843	2846	526
844	2849	522
845	2853	519
846	2856	515
847	2859	512
848	2863	509
849	2866	505
850	2869	502
851	2873	499
852	2876	495
853	2879	492
854	2882	488
855	2884	485
856	2889	482
857	2890	478
858	2892	474
859	2893	470
860	2894	467
861	2896	463
862	2897	459
863	2898	456
864	2900	452
865	2903	449
866	2904	445
867	2906	441
868	2907	438
869	2909	434
870	2910	431
871	2911	427
872	2913	423
873	2914	420
874	2915	416
875	2917	413
876	2920	409
877	2924	406
878	2926	402
879	2929	399
880	2932	396
881	2936	392
882	2938	389
883	2942	386
884	2945	382
885	2948	379
886	2951	375
887	2955	372
888	2963	369
889	2965	366
890	2967	363
891	2971	359
892	2975	356
893	2978	353
894	2980	349
895	2983	346
896	2986	342
897	2989	339
898	2992	336
899	2995	332
900	2998	329
901	3001	326
902	3004	322
903	3007	319
904	3010	316
905	3013	312
906	3016	309
907	3020	305
908	3023	302
909	3026	299
910	3030	296
911	3032	292
912	3035	289
913	3038	285
914	3042	282
915	3045	279
916	3048	275
917	3051	272
918	3055	269
919	3058	265
920	3061	262
921	3064	259
922	3068	256
923	3071	252
924	3075	249
925	3078	245
926	3081	242
927	3083	239
928	3087	235
929	3089	232
930	3090	229
931	3091	225
932	3093	222
933	3094	218
934	3095	215
935	3096	211
936	3097	208
937	3098	204
938	3100	201
939	3101	197
940	3102	194
941	3103	191
942	3104	187
943	3105	184
944	3106	180
945	3107	177
946	3108	173
947	3109	170
948	3111	167
949	3112	163
950	3114	160
951	3115	157
952	3116	153
953	3118	150
954	3119	146
955	3120	143
956	3121	140
957	3122	136
958	3123	133
959	3124	130
960	3126	126
961	3128	123
962	3131	120
963	3134	117
964	3137	113
965	3141	110
966	3144	107
967	3147	104
968	3150	100
969	3153	97
970	3157	94
971	3160	91
972	3163	87
973	3166	84
974	3170	81
975	3173	78
976	3176	74
977	3179	71
978	3182	68
979	3185	65
980	3188	61
981	3191	58
982	3193	55
983	3194	51
984	3196	48
985	3197	45
986	3198	42
987	3199	38
988	3200	35
989	3201	32
990	3202	29
991	3203	25
992	3204	22
993	3205	19
994	3206	16
995	3207	12
996	3208	9
997	3210	6
998	3211	3
999	3212	0
